,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
395,Moratuwa,70,LK,1587416002,84,79.88,6.77,80.44,1.25
396,Port Moresby,20,PG,1587415801,100,147.18,-9.44,75.2,3.36
397,Ugoofaaru,100,MV,1587416026,70,73,5.67,85.62,7.2
398,Moose Factory,90,CA,1587416027,96,-80.61,51.26,32,18.34
399,Ubrique,20,ES,1587416027,100,-5.45,36.68,55.4,5.82
400,Aquiraz,20,BR,1587416027,70,-38.39,-3.9,84.2,5.82
401,Steamboat Springs,75,US,1587416027,34,-106.83,40.48,51.01,5.82
402,Cartagena del Chairá,5,CO,1587415788,47,-74.84,1.33,88.72,4.56
403,Inverbervie,75,GB,1587416028,87,-2.28,56.84,44.6,2.24
404,Bud,40,US,1587416028,46,-86.18,39.45,64.99,13.87
405,Sucúa,40,EC,1587416028,47,-78.17,-2.47,80.6,5.82
406,Mehamn,75,NO,1587416028,60,27.85,71.04,39.2,28.86
407,Mayo,1,US,1587416029,51,-76.51,38.89,62.01,3.36
408,jiddah,,,,,,,,
409,Beijing,0,CN,1587415795,18,116.4,39.91,42.8,8.95
410,Geraldton,1,AU,1587416014,87,114.6,-28.77,53.6,9.17
411,Port Keats,30,AU,1587416029,79,129.55,-14.25,80.85,2.95
412,San Cristobal,20,VE,1587415826,46,-72.22,7.77,93.2,11.41
413,Husavik,31,IS,1587416032,77,-17.34,66.04,43.39,12.21
414,Matara,87,LK,1587416033,89,80.54,5.95,77.9,7.49
415,Moshenskoye,18,RU,1587416033,89,34.59,58.51,32.52,5.17
416,bargal,,,,,,,,
417,Emba,43,KZ,1587416033,72,58.14,48.83,53.53,13.89
418,Lucea,75,JM,1587416033,74,-78.17,18.45,87.01,14.99
419,Pandan,99,PH,1587416034,84,124.17,14.05,81.34,12.06
420,Zhigansk,43,RU,1587416034,95,123.37,66.77,16.52,7.27
421,Olinda,75,BR,1587416034,88,-34.86,-8.01,78.8,9.17
422,Taggia,75,IT,1587416034,87,7.85,43.85,57.99,19.46
423,Shimoda,79,JP,1587416008,95,138.95,34.67,53.01,20.87
424,Bambari,81,CF,1587416035,78,20.68,5.77,73.87,2.15
425,Harrismith,10,ZA,1587416035,33,29.13,-28.27,54.3,1.1
426,Saint Lawrence,72,MT,1587416035,100,14.2,36.06,62.01,9.17
427,Trairi,82,BR,1587416035,83,-39.27,-3.28,80.53,8.28
428,Caucaia,20,BR,1587416036,70,-38.65,-3.74,84.2,5.82
429,Inuvik,90,CA,1587416036,72,-133.72,68.35,12.2,5.82
430,andselv,,,,,,,,
431,Mahajanga,20,MG,1587416037,73,46.32,-15.72,77,6.93
432,Rocha,0,UY,1587416037,76,-54.33,-34.48,66.13,2.21
433,malwan,,,,,,,,
434,Praia da Vitória,20,PT,1587416037,63,-27.07,38.73,60.8,11.25
435,Wald-Michelbach,7,DE,1587416038,37,8.83,49.57,59,15.82
436,Vardø,40,NO,1587416038,69,31.11,70.37,35.6,13.87
437,Chakradharpur,96,IN,1587416038,32,85.63,22.7,80.35,0.22
438,Inverell,34,AU,1587416038,84,151.12,-29.78,54,3.6
439,Samarai,100,PG,1587416038,80,150.67,-10.62,80.64,7.56
440,Jinchang,100,CN,1587416039,25,102.17,38.5,41.58,3.71
441,Suffolk,1,US,1587415969,46,-72.8,40.87,55,8.05
442,Verkhovyna,62,UA,1587416041,66,24.79,48.16,33.46,1.1
443,Paita,46,PE,1587416041,58,-81.11,-5.09,79.63,17.02
444,Kamaishi,69,JP,1587416042,80,141.88,39.27,49.71,10.4
445,Constantine,75,DZ,1587416042,76,6.61,36.37,57.2,9.17
446,Goderich,63,CA,1587415887,46,-81.72,43.75,51.01,21.54
447,Breţcu,78,RO,1587416043,52,26.3,46.05,44.01,7
448,Jertih,20,MY,1587416044,88,102.49,5.73,80.6,3.38
449,Mildura,0,AU,1587416044,66,142.15,-34.2,53.6,1.41
450,Bitung,40,ID,1587416044,94,125.18,1.45,77,1.99
451,Shwebo,0,MM,1587416044,27,95.7,22.57,85.46,5.06
452,samusu,,,,,,,,
453,Moroto,99,UG,1587416046,58,34.67,2.53,67.41,3.62
454,Saint-Augustin,69,CA,1587416033,97,-58.65,51.23,32.07,7.67
455,Maun,6,BW,1587416046,67,23.42,-19.98,62.6,1.12
456,Khowst,52,AF,1587416046,45,69.88,33.38,56.57,3.89
457,Krasnosel'kup,100,RU,1587416016,96,82.47,65.7,33.58,10.18
458,Baharly,0,TM,1587416047,28,57.43,38.44,73.49,7.9
459,Whyalla,0,AU,1587416048,93,137.58,-33.03,48.2,5.82
460,Tubualá,40,PA,1587416048,52,-79.03,9.52,91.4,10.29
461,Severo-Kuril'sk,63,RU,1587416048,93,156.12,50.68,32.27,5.64
462,Dimitrovgrad,90,RU,1587416049,43,49.62,54.21,50,8.95
463,Āmli,0,IN,1587416049,53,73.02,20.28,79.18,0.85
464,Ocampo,0,MX,1587416049,8,-101.5,21.65,82.62,10.58
465,Lagoa,95,PT,1587416049,67,-27.98,39.05,59.5,14.18
466,Ust-Nera,81,RU,1587416050,81,143.2,64.57,7.48,0.83
467,Kushiro,100,JP,1587416050,97,144.37,42.98,46.09,10.83
468,Denpasar,40,ID,1587416050,100,115.22,-8.65,78.8,2.24
469,Makakilo City,75,US,1587416036,65,-158.09,21.35,82.4,6.93
470,Yarim,96,YE,1587416050,44,44.38,14.3,54.68,1.21
471,Taoudenni,0,ML,1587416052,14,-3.98,22.68,84.31,8.34
472,Richards Bay,0,ZA,1587416021,88,32.04,-28.78,71.22,11.61
473,Grand Gaube,20,MU,1587416053,89,57.66,-20.01,73,3
474,Saint Anthony,20,US,1587416013,35,-93.22,45.02,60.8,19.46
475,Kurchum,0,KZ,1587416053,43,83.65,48.57,48.45,4.38
476,Labuhan,55,ID,1587416053,85,112.21,-6.88,79.03,5.12
477,Vaideeni,100,RO,1587416053,70,23.93,45.17,46.4,3.36
478,Tūkrah,2,LY,1587416054,19,20.58,32.53,79.81,28.07
479,sidi bu zayd,,,,,,,,
480,Nokaneng,64,BW,1587416055,29,22.27,-19.67,68.07,5.5
481,Urusha,100,RU,1587416055,76,122.9,54.05,19.42,14.07
482,Beyneu,15,KZ,1587416056,45,55.2,45.32,67.5,11.68
483,ambodifototra,,,,,,,,
484,General Roca,45,AR,1587416031,30,-67.58,-39.03,69.8,10.29
485,Waddān,0,LY,1587416056,15,16.14,29.16,79.79,10.94
486,Navalgund,87,IN,1587416056,58,75.37,15.57,80.38,9.28
487,Verkhoyansk,100,RU,1587416057,90,133.38,67.54,15.33,3.18
488,Jalu,0,LY,1587416057,16,21.55,29.03,80.46,16.35
489,halalo,,,,,,,,
490,lolua,,,,,,,,
491,Mount Gambier,75,AU,1587415960,93,140.77,-37.83,48.2,10.29
492,Yen Bai,92,VN,1587416058,84,104.87,21.7,78.04,1.41
493,Pokhara,100,NP,1587415916,35,83.98,28.23,64.08,1.25
494,Tefé,78,BR,1587416058,73,-64.71,-3.35,85.62,1.54
495,Raja,79,SS,1587416058,38,25.68,8.46,79,2.91
496,Gumlā,97,IN,1587416059,21,84.55,23.05,78.87,1.03
497,Bilibino,90,RU,1587416039,87,166.44,68.05,3.42,3.22
498,Farafangana,19,MG,1587416059,82,47.83,-22.82,74.07,7.83
499,San Patricio,20,MX,1587416059,74,-104.7,19.22,86,17.22
500,Shamary,67,RU,1587416059,87,58.22,57.34,34.18,0.47
501,Yantongshan,47,CN,1587416060,83,126.01,43.29,28.33,13.85
502,Āwash,100,ET,1587416060,57,40.17,8.98,74.73,1.9
503,dujuma,,,,,,,,
504,Baykit,100,RU,1587416060,93,96.37,61.67,29.25,3.18
505,Mānsa,87,IN,1587416061,46,75.38,29.98,73.33,4.38
506,The Valley,20,AI,1587416061,54,-63.06,18.22,86,14.99
507,itahari,,,,,,,,
508,Obo,100,CF,1587416061,77,26.49,5.4,69.42,3.38
509,tungkang,,,,,,,,
510,mocambique,,,,,,,,
511,Jiuquan,99,CN,1587416063,26,98.52,39.74,42.31,2.24
512,San Alejo,20,SV,1587416063,52,-87.96,13.43,93.2,6.93
513,Piopio,100,NZ,1587416064,97,175.02,-38.47,55,1.01
514,Ilhabela,10,BR,1587415823,71,-45.36,-23.78,72.79,5.44
515,Auki,59,SB,1587416064,77,160.7,-8.77,82.18,7.45
516,Olafsvik,100,IS,1587416066,89,-23.71,64.89,45.48,17.67
517,Capinópolis,14,BR,1587416066,72,-49.57,-18.68,73.45,2.77
518,Sirte,0,LY,1587416066,53,16.59,31.21,69.69,3.31
519,Mongu,58,ZM,1587416066,44,23.13,-15.25,65.55,4.5
520,Quryq,41,KZ,1587416067,69,51.65,43.2,57.13,12.41
521,Nuuk,40,GL,1587416067,41,-51.72,64.18,39.2,6.93
522,Valdivia,75,CL,1587416044,55,-73.25,-39.81,62.6,8.05
523,Ergani,75,TR,1587416067,59,39.76,38.27,62.6,8.05
524,Clarksville,1,US,1587415925,35,-87.36,36.53,71.01,8.05
525,Pochutla,75,MX,1587416068,58,-96.47,15.74,89.01,17.22
526,Philadelphia,90,US,1587415844,33,-75.16,39.95,59,4.97
527,Show Low,1,US,1587416068,18,-110.03,34.25,68,11.41
528,Gandajika,100,CD,1587416069,77,23.95,-6.75,69.26,1.01
529,Gambēla,88,ET,1587416069,35,34.58,8.25,83.77,2.75
530,Mairana,7,BO,1587416069,38,-63.93,-18.12,69.12,4.54
531,São Sebastião,13,BR,1587415861,72,-45.41,-23.76,72.43,5.59
532,Baní,3,DO,1587415792,89,-70.33,18.28,86,7.4
533,Dvinskoy,0,RU,1587416070,97,45.12,62.15,30.22,3.22
534,Letka,71,RU,1587416070,85,49.42,59.6,33.87,2.3
535,Rāvar,100,IR,1587416070,35,56.81,31.27,69.24,2.8
536,Ceres,1,US,1587416070,42,-120.96,37.59,70,3.36
537,Panabá,10,MX,1587416070,33,-88.27,21.28,98.47,7.74
538,Broome,72,US,1587416071,37,-75.83,42.25,53.01,1.99
539,Kaeo,100,NZ,1587416072,95,173.78,-35.1,60.01,1.99
540,Yar-Sale,99,RU,1587416074,96,70.83,66.83,32.7,10.58
541,Cairns,73,AU,1587415813,94,145.77,-16.92,75.2,8.05
542,Santa Isabel Rio Negro,58,BR,1587416075,78,-65.02,-0.41,84.16,2.98
543,Buin,86,CL,1587415974,25,-70.75,-33.73,84.2,6.93
544,São Félix do Xingu,99,BR,1587416075,89,-51.99,-6.64,77.18,1.16
545,Luanda,40,AO,1587415941,88,13.23,-8.84,80.6,5.82
546,Puerto Baquerizo Moreno,90,EC,1587416076,81,-89.6,-0.9,77.85,12.28
547,Kondagaon,25,IN,1587416076,44,81.67,19.6,77.94,4.9
548,Bail-Hongal,92,IN,1587416077,58,74.87,15.82,79.74,6.38
549,Mareeba,67,AU,1587416078,94,145.43,-17,75.2,8.05
550,San Vicente,0,AR,1587416078,45,-54.13,-26.62,70.75,1.61
551,Kez,99,RU,1587416078,83,53.72,57.9,33.76,1.9
552,Khorramshahr,83,IR,1587416078,65,48.17,30.44,77,6.93
553,Ondangwa,55,NA,1587416080,57,15.95,-17.92,75.2,3.36
554,Yeniseysk,12,RU,1587416080,84,92.17,58.45,32.85,5.82
555,Karratha,97,AU,1587416080,73,116.85,-20.74,80.56,8.66
556,Tomatlán,1,MX,1587416080,43,-105.25,19.93,86.88,11.86
557,Jijiga,94,ET,1587416082,54,42.8,9.35,64.92,8.16
558,vaitupu,,,,,,,,
559,Kargil,100,IN,1587416083,22,76.1,34.57,30.11,5.3
560,Blackwater,0,AU,1587416083,40,148.88,-23.58,65.55,6.46
561,Anderson,20,US,1587416061,52,-82.65,34.53,72,3.36
562,Kysyl-Syr,46,RU,1587416084,95,122.76,63.9,16.12,3.18
563,Virginia Beach,90,US,1587415930,87,-75.98,36.85,55.99,9.17
564,ilinsko-podomskoye,,,,,,,,
565,Hofn,75,IS,1587416085,84,-15.21,64.25,45.3,3.6
566,bolshaya atnya,,,,,,,,
567,Coari,82,BR,1587416086,71,-63.14,-4.08,85.86,0.16
568,Mbigou,99,GA,1587416088,79,11.91,-1.9,69.03,5.37
569,Sohag,35,EG,1587416090,29,31.69,26.56,78.8,8.05
570,Batticaloa,34,LK,1587416090,79,81.69,7.71,81.34,3.53
571,Siocon,6,PH,1587416090,77,122.14,7.71,81.84,5.75
572,San Jerónimo,59,PE,1587416091,21,-75.28,-11.95,57.81,6.98
573,Berlevåg,75,NO,1587416091,60,29.09,70.86,39.2,28.86
574,Mahibadhoo,83,MV,1587415859,74,72.97,3.78,85.08,7.58
575,Sisimiut,57,GL,1587416091,90,-53.67,66.94,29.98,1.59
576,Marabu,75,MY,1587416067,100,114.01,4.41,77,3.36
577,The Pas,1,CA,1587416092,45,-101.25,53.83,26.6,12.75
578,Buala,82,SB,1587416092,76,159.59,-8.14,82.72,5.19
579,Byron Bay,100,AU,1587416079,100,153.62,-28.65,57.99,5.08
580,Rundu,98,NA,1587416093,52,19.77,-17.93,69.8,3.36
581,Dawson Creek,1,CA,1587415923,40,-120.24,55.77,64.4,19.46
582,Whitehorse,90,CA,1587416093,46,-135.05,60.72,50,10.29
583,Tazmalt,40,DZ,1587416093,59,4.4,36.39,64.4,11.41
584,Yerofey Pavlovich,100,RU,1587416094,74,121.97,53.97,19.38,14.83
585,Evensk,93,RU,1587416094,88,159.23,61.95,16.41,6.04
586,Noumea,75,NC,1587416094,94,166.46,-22.28,75.99,8.01
587,Rodolfo Sánchez Taboada,0,MX,1587416094,75,-116.57,31.72,66.99,5.99
588,Tiassalé,25,CI,1587416095,85,-4.83,5.9,78.8,4.07
589,Port-Gentil,40,GA,1587416095,94,8.78,-0.72,77,3.36
590,satitoa,,,,,,,,
591,Tabas,99,IR,1587416095,32,56.92,33.6,73.33,2.44
592,Richmond,90,US,1587415909,71,-77.46,37.55,60.01,10.29
593,Nyimba,87,ZM,1587416096,53,30.81,-14.56,66.94,3.53
594,Taltal,1,CL,1587416096,59,-70.48,-25.4,70.54,3.78
595,Sibu,75,MY,1587416096,94,111.82,2.3,75.2,4.7
596,Szentkirályszabadja,0,HU,1587416097,52,17.97,47.06,44.6,4.7
597,Corvallis,1,US,1587415877,55,-123.26,44.56,68,4.14
598,Sitka,90,US,1587416098,87,-135.33,57.05,44.6,16.11
599,Rawlins,1,US,1587416098,22,-107.24,41.79,55.4,14.99
600,Dhidhdhoo,96,MV,1587416043,70,73.1,6.88,85.5,5.93
601,Sorong,100,ID,1587416098,92,131.25,-0.88,76.3,8.37
602,Deputatsky,100,RU,1587416099,91,139.9,69.3,12.88,5.01
603,Egvekinot,25,RU,1587416099,89,-179.17,66.32,8.71,7.43
604,Lauf,90,DE,1587416099,33,8.13,48.65,62.6,19.46
605,juifang,,,,,,,,
606,Balfour,0,ZA,1587416045,39,28.59,-26.66,55,3.22
607,Torrington,100,US,1587416101,41,-73.12,41.8,55,5.01
